title,url,discounted_price,original_price
Authentic VOOPOO DRAG X Plus 100W Pod Kit - Sandy Brown,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-100w-pod-kit-sandy-brown-p-20573.html,$39.70,$42.15 
12pcs Uwell Crown Pod 1.0Ω + 1pcs Free Crown Pod 1250mAh Kit Black,https://www.cigabuy.com/12pcs-uwell-crown-pod-10Ω-1pcs-free-crown-pod-1250mah-kit-black-p-21162.html,$43.42,$52.59 
Authentic Uwell Whirl S Pen Kit - Coffee,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-coffee-p-20633.html,$16.68,$38.81 
Authentic VOOPOO Argus GT 160W TC Box Mod - Black&Blue,https://www.cigabuy.com/authentic-voopoo-argus-gt-160w-tc-box-mod-blackblue-p-19972.html,$34.13,$37.74 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-gunmetal-p-18330.html,$44.15,$76.62 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-gunmetal-p-15777.html,$20.28,$32.81 
Authentic Geekvape L200 Aegis Legend 2 Kit - Red,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-red-p-21209.html,$53.94,$84.70 
Authentic Uwell Valyrian II PRO Tank - Black & Silver,https://www.cigabuy.com/authentic-uwell-valyrian-ii-pro-tank-black-silver-p-20598.html,$30.62,$49.59 
12pcs Uwell Crown Pod 0.6Ω + 1pcs Free Crown Pod 1250mAh Kit Black,https://www.cigabuy.com/12pcs-uwell-crown-pod-06Ω-1pcs-free-crown-pod-1250mah-kit-black-p-21163.html,$41.01,$49.84 
Authentic Geekvape L200 Aegis Legend 2 Kit - Black,https://www.cigabuy.com/authentic-geekvape-l200-aegis-legend-2-kit-black-p-21203.html,$53.94,$84.70 
3 x Authentic VGOD STIG XL 700 Puffs DISPOSABLE POD Kit - CITRUS-T BOMB ICED,https://www.cigabuy.com/3-x-authentic-vgod-stig-xl-700-puffs-disposable-pod-kit-citrus-t-bomb-iced-p-21117.html,$15.64,$17.07 
Authentic GeekVape Zeus X RTA 4.5ml 25MM - Black,https://www.cigabuy.com/authentic-geekvape-zeus-x-rta-45ml-25mm-black-p-14054.html,$24.81,$36.72 
